study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB21504	SAMEA104139299	ERS1798317	ERX2074639	ERR2015057	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015057/ERR2015057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015057/ERR2015057_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015057/ERR2015057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015057/ERR2015057_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC11_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC11_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC11_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC11_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015057	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015057		
PRJEB21504	SAMEA104139300	ERS1798318	ERX2074640	ERR2015058	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015058/ERR2015058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015058/ERR2015058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015058/ERR2015058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015058/ERR2015058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC12_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC12_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC12_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC12_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015058	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015058		
PRJEB21504	SAMEA104139301	ERS1798319	ERX2074641	ERR2015059	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015059/ERR2015059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015059/ERR2015059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015059/ERR2015059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015059/ERR2015059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC13_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC13_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015059	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015059		
PRJEB21504	SAMEA104139302	ERS1798320	ERX2074642	ERR2015060	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015060/ERR2015060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015060/ERR2015060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015060/ERR2015060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015060/ERR2015060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC14_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC14_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC14_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015060	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015060		
PRJEB21504	SAMEA104139303	ERS1798321	ERX2074643	ERR2015061	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015061/ERR2015061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015061/ERR2015061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015061/ERR2015061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2015061/ERR2015061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC15_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC15_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC15_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC15_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/001/ERR2015061	ftp.sra.ebi.ac.uk/vol1/err/ERR201/001/ERR2015061		
PRJEB21504	SAMEA104139304	ERS1798322	ERX2074644	ERR2015062	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015062/ERR2015062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015062/ERR2015062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015062/ERR2015062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2015062/ERR2015062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC16_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC16_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/002/ERR2015062	ftp.sra.ebi.ac.uk/vol1/err/ERR201/002/ERR2015062		
PRJEB21504	SAMEA104139305	ERS1798323	ERX2074645	ERR2015063	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015063/ERR2015063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015063/ERR2015063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015063/ERR2015063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2015063/ERR2015063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC17_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC17_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC17_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC17_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/003/ERR2015063	ftp.sra.ebi.ac.uk/vol1/err/ERR201/003/ERR2015063		
PRJEB21504	SAMEA104139306	ERS1798324	ERX2074646	ERR2015064	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015064/ERR2015064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015064/ERR2015064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015064/ERR2015064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2015064/ERR2015064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC18_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC18_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/004/ERR2015064	ftp.sra.ebi.ac.uk/vol1/err/ERR201/004/ERR2015064		
PRJEB21504	SAMEA104139307	ERS1798325	ERX2074647	ERR2015065	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015065/ERR2015065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015065/ERR2015065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015065/ERR2015065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2015065/ERR2015065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC19_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC19_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/005/ERR2015065	ftp.sra.ebi.ac.uk/vol1/err/ERR201/005/ERR2015065		
PRJEB21504	SAMEA104139308	ERS1798326	ERX2074648	ERR2015066	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015066/ERR2015066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015066/ERR2015066_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015066/ERR2015066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2015066/ERR2015066_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC20_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC20_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC20_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/006/ERR2015066	ftp.sra.ebi.ac.uk/vol1/err/ERR201/006/ERR2015066		
PRJEB21504	SAMEA104139309	ERS1798327	ERX2074649	ERR2015067	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015067/ERR2015067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015067/ERR2015067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015067/ERR2015067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2015067/ERR2015067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC21_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC21_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015067	ftp.sra.ebi.ac.uk/vol1/err/ERR201/007/ERR2015067		
PRJEB21504	SAMEA104139310	ERS1798328	ERX2074650	ERR2015068	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015068/ERR2015068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015068/ERR2015068_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015068/ERR2015068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2015068/ERR2015068_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC22_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC22_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC22_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC22_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015068	ftp.sra.ebi.ac.uk/vol1/err/ERR201/008/ERR2015068		
PRJEB21504	SAMEA104139311	ERS1798329	ERX2074651	ERR2015069	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015069/ERR2015069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015069/ERR2015069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015069/ERR2015069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2015069/ERR2015069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC23_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC23_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC23_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC23_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015069	ftp.sra.ebi.ac.uk/vol1/err/ERR201/009/ERR2015069		
PRJEB21504	SAMEA104139312	ERS1798330	ERX2074652	ERR2015070	9606	Homo sapiens	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015070/ERR2015070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015070/ERR2015070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015070/ERR2015070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2015070/ERR2015070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC24_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC24_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC24_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA964/ERA964981/fastq/SC24_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015070	ftp.sra.ebi.ac.uk/vol1/err/ERR201/000/ERR2015070		
